id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,transactions/0,transactions/1,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2
U-i6cq-yFRVJC4pIKSLX9Q,poor-calvins-atlanta-15,Poor Calvin's,https://s3-media3.fl.yelpcdn.com/bphoto/OqNT3uMiq-ZvhkPmJz_2eA/o.jpg,false,https://www.yelp.com/biz/poor-calvins-atlanta-15?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,4351,asianfusion,Asian Fusion,southern,Southern,comfortfood,Comfort Food,4.5,33.7684,-84.38226,pickup,delivery,$$$,510 Piedmont Ave NE,,,Atlanta,30308,US,GA,510 Piedmont Ave NE,"Atlanta, GA 30308",+14042544051,(404) 254-4051,960.1796369867094,
GJxFtnTqTiokFedNrW9iDQ,atlanta-breakfast-club-atlanta,Atlanta Breakfast Club,https://s3-media3.fl.yelpcdn.com/bphoto/xBI3goY3jhdtoWgk5_EJ9g/o.jpg,false,https://www.yelp.com/biz/atlanta-breakfast-club-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,6148,southern,Southern,breakfast_brunch,Breakfast & Brunch,tradamerican,American (Traditional),4.5,33.76502172531836,-84.39540055138298,pickup,delivery,$$,249 Ivan Allen Jr Blvd,,,Atlanta,30313,US,GA,249 Ivan Allen Jr Blvd,"Atlanta, GA 30313",+14704283825,(470) 428-3825,2234.1749689507396,
z9oCxeqOKp2QMfM24m7bUw,mary-macs-tea-room-atlanta,Mary Mac's Tea Room,https://s3-media2.fl.yelpcdn.com/bphoto/1TSRr5FgjKsuSxVeWeB7Rg/o.jpg,false,https://www.yelp.com/biz/mary-macs-tea-room-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,4737,southern,Southern,venues,Venues & Event Spaces,bars,Bars,4,33.772832,-84.379998,delivery,,$$,224 Ponce De Leon Ave NE,,,Atlanta,30308,US,GA,224 Ponce De Leon Ave NE,"Atlanta, GA 30308",+14048761800,(404) 876-1800,694.8322178613946,
BSUDAiXd50PAkfFAztVpDw,aviva-by-kameel-atlanta-atlanta,Aviva by Kameel - Atlanta,https://s3-media1.fl.yelpcdn.com/bphoto/5P3eyDa8bMZvBIZspI2hhQ/o.jpg,false,https://www.yelp.com/biz/aviva-by-kameel-atlanta-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1736,mediterranean,Mediterranean,mideastern,Middle Eastern,,,5,33.7605381455292,-84.3865554648041,pickup,delivery,$$,225 Peachtree St NE,Ste B-30,,Atlanta,30303,US,GA,225 Peachtree St NE,Ste B-30,+14046983600,(404) 698-3600,1789.8632838025621,"Atlanta, GA 30303"
eG-UO83g_5zDk70FIJbm2w,south-city-kitchen-midtown-atlanta-2,South City Kitchen Midtown,https://s3-media3.fl.yelpcdn.com/bphoto/L1qX2ttHqvNMqgsw_JQNLQ/o.jpg,false,https://www.yelp.com/biz/south-city-kitchen-midtown-atlanta-2?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,3087,southern,Southern,,,,,4.5,33.786,-84.3845599,delivery,,$$,1144 Crescent Ave NE,,,Atlanta,30309,US,GA,1144 Crescent Ave NE,"Atlanta, GA 30309",+14048737358,(404) 873-7358,1925.444319405883,
u-4wti774tFcYRLuQrnHEg,fox-bros-bar-b-q-atlanta,Fox Bros. Bar-B-Q,https://s3-media3.fl.yelpcdn.com/bphoto/xtfo_GBOkoPy6f1iQYeqdQ/o.jpg,false,https://www.yelp.com/biz/fox-bros-bar-b-q-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,4472,bbq,Barbeque,tradamerican,American (Traditional),,,4.5,33.7610514725111,-84.3475019931793,delivery,,$$,1238 Dekalb Ave NE,,,Atlanta,30307,US,GA,1238 Dekalb Ave NE,"Atlanta, GA 30307",+14045774030,(404) 577-4030,2605.127976526162,
WkN8Z2Q8gbhjjkCt8cDVxg,two-urban-licks-atlanta,Two Urban Licks,https://s3-media2.fl.yelpcdn.com/bphoto/4dctCSny7AboWCCKLFXbyA/o.jpg,false,https://www.yelp.com/biz/two-urban-licks-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,3295,bars,Bars,newamerican,American (New),,,4,33.7684555661887,-84.3612738994751,delivery,,$$$,820 Ralph McGill Blvd NE,,,Atlanta,30306,US,GA,820 Ralph McGill Blvd NE,"Atlanta, GA 30306",+14045224622,(404) 522-4622,1107.7838809192033,
W2uLX3tc3YrhKKxEIPRmAw,georgia-aquarium-atlanta,Georgia Aquarium,https://s3-media4.fl.yelpcdn.com/bphoto/gk6BdrATSGVv6Rk2Yjzscg/o.jpg,false,https://www.yelp.com/biz/georgia-aquarium-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,3244,aquariums,Aquariums,,,,,4,33.7630463019815,-84.3947916838531,,,,225 Baker St,,,Atlanta,30313,US,GA,225 Baker St,"Atlanta, GA 30313",+14045814000,(404) 581-4000,2265.422431660961,
i3tJgf3BhAej354EhrK7yg,highland-bakery-atlanta,Highland Bakery,https://s3-media1.fl.yelpcdn.com/bphoto/CYHfns58j3dqLUktZXQ78g/o.jpg,false,https://www.yelp.com/biz/highland-bakery-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1781,bakeries,Bakeries,breakfast_brunch,Breakfast & Brunch,sandwiches,Sandwiches,4,33.76122,-84.366117,pickup,delivery,$$,655 Highland Ave NE,Ste 10,,Atlanta,30312,US,GA,655 Highland Ave NE,Ste 10,+14045860772,(404) 586-0772,1310.6680825897072,"Atlanta, GA 30312"
viqkunBBI6QOIZehME-7gg,hattie-bs-hot-chicken-atlanta-east-atlanta-3,Hattie B's Hot Chicken - Atlanta East,https://s3-media2.fl.yelpcdn.com/bphoto/KiolANNcATABZ7_me656Aw/o.jpg,false,https://www.yelp.com/biz/hattie-bs-hot-chicken-atlanta-east-atlanta-3?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,2033,chickenshop,Chicken Shop,chicken_wings,Chicken Wings,sandwiches,Sandwiches,4.5,33.7624,-84.34882,delivery,,$$,299 Moreland Ave NE,,,Atlanta,30307,US,GA,299 Moreland Ave NE,"Atlanta, GA 30307",+16789905100,(678) 990-5100,2437.5853468429527,
